user_id,item_id,rate
10,37,4
5,57,2
4,32,2
9,55,4
4,37,0
6,47,5
10,42,3
2,35,1
4,47,1
5,49,2
5,66,1
8,2,1
1,60,1
11,71,2
8,52,2
13,38,3
11,50,2
4,4,4
5,10,5
4,69,2
14,55,5
6,42,3
3,65,1
9,76,1
3,34,1
12,15,1
2,42,5
4,57,2
6,72,2
14,58,5
3,53,3
11,10,3
7,27,2
4,50,5
12,6,5
5,26,3
14,8,5
11,62,5
2,29,3
4,73,5
10,51,4
5,51,3
1,65,5
9,52,1
14,9,4
5,40,2
6,70,5
4,3,3
10,31,5
7,41,3
11,18,1
11,9,5
14,71,2
9,17,5
13,11,0
10,25,4
7,45,1
8,44,2
10,58,3
10,50,4
10,27,2
4,28,4
2,30,3
10,31,1
8,20,5
6,67,1
7,68,3
11,2,0
12,76,5
1,24,1
14,45,1
10,63,3
11,66,4
4,75,5
1,8,1
12,1,0
3,49,5
1,3,5
7,3,3
6,44,5
8,44,1
11,74,4
13,48,3
13,52,0
13,64,0
6,1,5
14,16,4
5,66,5
5,18,5
8,4,1
11,30,3
1,50,4
14,72,4
3,7,1
1,13,2
3,48,0
10,26,5
12,42,3
10,26,0
